seed,act1,act2,ratio,layout,hidden,lr,epochs,loss,status,seconds,train_acc,val_acc,val_f1,test_acc,test_f1,best_val_acc,best_val_epoch,epoch_loss,epoch_train_acc,epoch_val_acc,epoch_val_f1,test_confusion
12,relu,relu,0,interleave,12,0.003,10,mse,ok,13.2197,93.7,92.82,92.7385,93.03,92.9628,92.82,10,0.0515434|0.0198291|0.0153286|0.0140177|0.0130174|0.0123199|0.0117732|0.0113498|0.0109804|0.0106683,62.9956|88.7089|90.98|91.6|92.3956|92.7356|92.9267|93.2933|93.6089|93.7,82.68|90.24|90.94|91.36|92.18|92.5|92.2|92.24|92.64|92.82,81.8602|90.0741|90.8052|91.2318|92.0671|92.3882|92.0836|92.1399|92.543|92.7385,976|0|1|3|3|4|2|2|12|1|0|1056|14|1|3|6|0|3|15|1|6|3|892|6|12|3|9|4|17|3|2|6|24|907|0|45|1|12|25|7|2|2|10|0|924|2|7|4|7|25|7|5|9|25|10|831|7|7|17|0|14|1|10|1|12|7|937|0|8|0|2|6|15|2|17|2|0|982|2|7|2|11|8|19|3|18|8|1|937|4|14|0|1|8|24|19|0|33|16|861
11,relu,relu,0,interleave,12,0.003,10,mse,ok,13.2585,94.38,93.28,93.1946,93.54,93.4819,93.28,10,0.0453401|0.0175254|0.0144224|0.013029|0.0121677|0.0114952|0.011011|0.0106352|0.0103645|0.0100825,68.1267|90.3333|91.9689|92.6889|93.0711|93.5356|93.7578|94.0422|94.1422|94.38,88.74|91.02|91.42|92.06|92.38|92.5|92.72|91.98|93.14|93.28,88.4962|90.8891|91.2826|91.9276|92.236|92.3915|92.6099|91.8427|93.0556|93.1946,973|0|3|2|4|4|6|2|10|0|0|1054|10|6|2|5|2|3|15|2|10|7|873|10|13|1|12|7|21|1|6|5|20|927|1|20|4|13|27|6|3|2|2|1|915|2|8|3|5|42|13|1|4|21|7|848|11|1|9|3|6|1|2|0|11|3|962|0|4|1|1|4|13|3|7|5|0|993|1|8|3|8|4|16|5|13|15|2|935|10|13|1|1|10|21|18|1|22|15|874
10,relu,relu,0,interleave,12,0.003,10,mse,ok,13.2652,93.6444,92.44,92.3639,93.25,93.19,92.54,9,0.0515307|0.0196785|0.0160786|0.0143324|0.0133677|0.0125333|0.0118895|0.0113845|0.0108984|0.0105223,62.5067|88.6844|90.6222|91.5533|92.1378|92.5533|92.9978|93.1822|93.5044|93.6444,85.88|89.82|90.72|91.38|91.74|91.66|91.92|92.4|92.54|92.44,85.4778|89.6504|90.5587|91.2273|91.5917|91.5219|91.798|92.2751|92.4653|92.3639,961|0|3|3|2|13|8|1|10|3|0|1055|15|7|2|4|1|0|14|1|2|3|892|4|4|8|14|5|19|4|0|5|28|925|0|37|4|4|23|3|0|2|2|0|931|4|15|2|6|21|4|0|16|15|10|842|12|1|14|4|8|1|3|0|12|14|946|0|4|2|1|5|23|5|11|2|0|966|6|16|1|6|10|13|3|32|10|0|929|7|8|2|1|9|26|23|1|15|13|878
13,relu,relu,0,interleave,12,0.003,10,mse,ok,12.1514,93.56,92.5,92.4195,92.86,92.8088,92.5,10,0.0621653|0.0245534|0.0172068|0.0148514|0.0136221|0.0127441|0.0121431|0.0116933|0.0113079|0.0110342,52.5022|86.7267|90.2356|91.4444|92.1978|92.6178|92.8444|93.1444|93.4178|93.56,81.76|88.42|90.74|91.12|91.72|92.14|92.18|92.24|92.42|92.5,80.9316|88.1587|90.5869|90.9635|91.5896|92.0061|92.0751|92.1703|92.3417|92.4195,954|0|6|4|2|12|17|1|6|2|0|1065|6|10|1|4|0|1|8|4|13|6|868|13|8|3|14|6|20|4|1|3|21|941|1|31|0|5|18|8|1|1|1|1|911|3|13|5|6|41|7|0|2|16|5|848|22|1|12|5|6|1|7|0|14|8|947|0|5|2|2|9|7|15|11|4|1|947|0|39|3|8|7|30|8|24|12|0|899|20|8|0|1|14|10|11|4|14|8|906
14,relu,relu,0,interleave,12,0.003,10,mse,ok,12.2017,93.8911,93.08,93.0133,93.42,93.3662,93.2,9,0.0541932|0.0207558|0.0169342|0.0150618|0.0137461|0.0127549|0.0119761|0.0114051|0.0109933|0.0106096,59.46|88.2778|90.4|91.4156|92.1533|92.6933|93.0933|93.4089|93.7044|93.8911,85.18|89.64|91|91|91.84|91.8|92.2|92.42|93.2|93.08,84.586|89.4502|90.8442|90.8808|91.7543|91.7146|92.1374|92.298|93.132|93.0133,982|0|1|1|2|3|1|1|13|0|0|1060|13|4|3|3|1|3|10|2|12|8|863|12|11|4|10|9|23|3|5|4|17|934|0|26|1|12|24|6|3|2|4|1|905|0|10|1|9|48|9|2|6|20|4|838|8|4|21|6|10|2|1|0|19|11|940|0|6|1|2|5|7|4|17|4|0|972|3|21|6|12|3|13|2|12|6|1|947|9|13|1|0|6|8|12|0|26|9|901
16,relu,relu,0,interleave,12,0.003,10,mse,ok,12.1761,93.4911,92.5,92.402,92.9,92.8347,92.5,10,0.050393|0.0187055|0.0149592|0.013647|0.0128619|0.0123377|0.0119492|0.011614|0.0113093|0.0109951,65.48|89.0822|91.1711|91.8444|92.2889|92.6622|92.8156|93.0889|93.1578|93.4911,86.46|89.46|90.9|91.68|91.92|91.72|91.88|92.24|92.28|92.5,86.3419|89.3353|90.7797|91.5437|91.8073|91.5888|91.7885|92.1239|92.184|92.402,961|1|0|4|4|16|3|0|10|5|0|1061|12|3|2|5|0|3|11|2|8|8|854|12|15|7|15|8|25|3|3|3|15|915|0|51|2|10|20|10|1|3|2|1|933|1|10|3|2|27|2|7|3|25|10|848|9|3|10|1|8|1|7|0|17|16|931|0|9|1|1|4|10|7|10|2|0|984|2|15|2|17|2|15|5|24|8|1|923|14|8|2|1|7|28|15|2|20|13|880
15,relu,relu,0,interleave,12,0.003,10,mse,ok,12.2193,93.4444,92.52,92.411,92.81,92.7331,92.66,9,0.0525367|0.0207949|0.0169065|0.0148034|0.0134955|0.0125825|0.0119822|0.0115204|0.0111659|0.0107725,61.9267|88.32|90.3622|91.4022|92.0067|92.4756|92.8422|93.1378|93.2311|93.4444,85.56|89.62|90.66|91.06|91.56|91.9|91.94|92.32|92.66|92.52,85.3312|89.4452|90.4958|90.9141|91.4167|91.7659|91.7851|92.1925|92.5605|92.411,958|0|5|3|3|12|5|2|15|1|0|1061|8|7|2|2|2|4|12|1|7|7|865|9|11|2|14|11|28|1|1|7|24|923|1|25|2|14|29|3|3|1|3|1|925|0|14|1|7|28|9|3|4|21|13|788|22|4|47|7|7|1|1|0|16|9|948|0|7|1|0|7|10|3|14|2|0|976|2|21|2|7|4|9|5|13|6|1|953|11|9|3|0|6|28|6|0|24|16|884
19,relu,relu,0,interleave,12,0.003,10,mse,ok,11.9307,93.9644,93.08,92.9875,93.56,93.4845,93.08,9,0.0530434|0.0191811|0.0151718|0.0136001|0.0126234|0.0119085|0.0114285|0.0110126|0.0107017|0.0103526,61.2244|89.2289|91.2022|92.0178|92.6333|93.0356|93.3489|93.6178|93.72|93.9644,87.46|90.16|91.1|91.6|92.26|92.5|92.62|92.96|93.08|93.08,87.1351|89.9896|90.9851|91.5158|92.1685|92.4126|92.5194|92.8529|92.9851|92.9875,970|0|2|3|2|2|11|2|12|0|0|1066|13|2|2|3|2|3|8|0|9|2|873|12|10|6|15|11|16|1|1|5|28|933|1|24|3|10|17|7|0|1|3|2|916|4|14|3|5|35|12|2|6|26|12|834|15|3|5|3|8|2|3|0|6|4|965|0|2|0|1|0|11|7|10|3|0|992|1|10|4|12|12|15|3|15|25|1|911|13|10|2|0|7|13|12|0|23|13|896
17,relu,relu,0,interleave,12,0.003,10,mse,ok,12.002,94,92.94,92.8427,93.39,93.3214,92.94,10,0.0553504|0.0211118|0.0166155|0.0146227|0.0134508|0.0126432|0.0119698|0.0113564|0.0109174|0.0104999,58.9133|88.5444|90.6511|91.7467|92.4067|92.7733|93.2111|93.4667|93.7022|94,82.38|89.76|90.56|91.66|92.18|92.16|92.48|92.62|92.74|92.94,80.9902|89.527|90.4501|91.5179|92.0706|92.0485|92.3732|92.526|92.6206|92.8427,971|0|1|3|2|2|9|1|14|1|0|1064|13|2|3|5|0|3|7|2|7|3|867|11|16|0|18|5|25|3|0|3|13|936|0|33|4|7|23|10|0|3|4|0|928|0|11|2|2|33|7|2|3|15|24|814|19|6|19|9|7|1|1|0|19|5|952|0|5|0|2|4|15|3|13|1|0|965|3|29|2|9|5|17|7|12|12|0|932|15|11|1|0|3|18|6|0|17|10|910
18,relu,relu,0,interleave,12,0.003,10,mse,ok,11.9599,93.9933,93.32,93.2218,93.61,93.5533,93.32,10,0.0554198|0.0202334|0.0156519|0.0136219|0.0124666|0.011771|0.0111758|0.0107184|0.0103934|0.0100796,58.9422|88.2556|90.9311|92.0533|92.6889|93.2|93.4711|93.7822|93.8533|93.9933,85.54|90.06|91.64|91.78|92.44|92.86|92.54|92.94|93.08|93.32,85.1783|89.9026|91.5261|91.6688|92.3356|92.7656|92.4707|92.8747|93.0045|93.2218,971|0|3|2|5|1|10|1|9|2|1|1055|16|5|1|1|5|3|6|6|6|2|893|9|11|0|12|6|15|1|1|8|24|938|0|11|3|11|18|15|2|1|4|0|917|2|18|2|4|33|10|3|5|27|6|807|25|4|17|14|7|1|5|0|9|3|962|0|3|0|1|4|17|1|6|2|0|977|3|24|2|5|8|11|4|6|19|2|936|18|10|1|0|5|20|5|2|11|17|905
